"P2_8","P2_3","FAC_HOG","FOLIO","VIV_SEL","HOGAR","N_REN","P3_1_1","P3_1_2","P3_2","P3_3","P3_4","P3_5","P3_11","P4_1","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_3","P4_5","P4_6_1","P4_6_2","P4_6_3","P4_6_4","P4_6_5","P4_6_6","P4_7_1","P4_7_2","P4_7_3","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_8_5","P4_8_6","P4_9_1","P4_9_2","P4_9_3","P4_9_4","P4_10","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_4_1","P5_4_2","P5_4_3","P5_4_4","P5_4_5","P5_4_6","P5_4_7","P5_4_8","P5_4_9","P5_23","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_2_1","P6_2_2","P6_2_3","P6_2_4","P6_2_5","P6_2_6","P6_2_7","P6_2_8","P6_2_9","P6_17","P7_1_1","P7_1_2","P7_2","P7_4","P7_5","P7_7_1","P7_8_1_1","P7_8_1_2","P7_8_1_3","P7_7_2","P7_8_2_1","P7_8_2_2","P7_8_2_3","P7_7_3","P7_7_4","P8_1","P8_2","P8_3","P9_1","P9_8_1","P9_8_2","P9_8_3","P9_8_4","P9_8_5","P9_8_6","P10_1","P10_4","P10_7","P11_1_1","P11_1_2","P11_1_3","P11_1_4","P11_1_5","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_3_1","P11_3_2","P11_3_3","P11_3_4","P11_3_9","P12_1","P13_1","P13_2","P13_3","P13_4","P14_1","P14_2_1","P14_2_2","P14_2_3","P14_2_4","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","FAC_ELE"
1,1,1841,1,1,1,1,0,0,4,2,1,8,2,2,2,1,2,2,2,1,2,3,1,1,3,3,3,1,1,1,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,1,1,2,2,2,1,3,2,83,3,1,3807
1,1,1841,2,2,1,1,3,3,6,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,2,1,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,3,2,33,3,1,1903
2,3,1841,3,3,1,4,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,3,3,2,2,2,2,2,1,3,1,30,3,1,8897
2,1,1841,4,4,1,1,2,6,3,2,2,5,2,2,2,2,2,2,2,2,2,1,1,2,2,3,3,1,1,1,2,2,3,3,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,3,3,1,2,2,2,2,1,3,2,64,3,1,5710
6,1,1841,5,5,1,1,2,5,5,2,1,8,2,2,2,2,2,2,2,2,2,1,2,3,1,1,3,1,1,2,1,1,3,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,3,2,1,1,2,2,1,3,1,70,3,1,14236
2,4,1273,6,1,1,4,6,3,6,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,3,2,1,3,1,2,2,2,2,2,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,3,1,2,2,2,2,1,3,2,20,4,2,5264
0,1,1273,7,2,1,1,2,6,4,2,1,5,2,2,2,2,1,2,2,2,2,2,1,2,3,3,3,1,1,2,1,1,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,2,3,1,2,2,2,2,1,3,2,70,4,2,1316
2,1,1273,8,4,1,1,6,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,3,2,2,1,1,2,2,1,2,1,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2,2,2,1,3,1,28,4,2,2461
2,1,1273,9,5,1,1,8,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3,2,1,1,1,2,1,1,2,1,5,2,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,7,4,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,3,2,1,1,1,2,1,3,1,45,4,2,2461
3,3,733,10,1,1,4,8,5,6,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,3,3,1,1,1,1,1,1,1,1,5,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,7,1,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,2,2,1,2,2,1,3,1,29,4,3,2833
